tx_hash,block_number,timestamp,event_type,sender,owner,assets,shares,vault_address,log_index,datetime
0x9d43ec00fa1964f71d1d096dd0ed210a63dd3b6ddd1c1eafdeba57b15b26fc6f,19842464,1715378207,deposit,0xcaa141ece9fee66d15f0257f5c6c48e26784345c,0xcaa141ece9fee66d15f0257f5c6c48e26784345c,0.001,0.000993,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,189,2024-05-10 21:56:47
0x2534d7a75bc9e8b2293e0d16f03a7989ba0f905d22df9b044753eed18b9f284e,19842431,1715377787,deposit,0xcaa141ece9fee66d15f0257f5c6c48e26784345c,0xcaa141ece9fee66d15f0257f5c6c48e26784345c,0.001,0.000993,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,391,2024-05-10 21:49:47
0x04c2d29f5daec45e58a28539206928456876932139b286fe143e91a09bb376ef,19842448,1715377991,deposit,0xcaa141ece9fee66d15f0257f5c6c48e26784345c,0xcaa141ece9fee66d15f0257f5c6c48e26784345c,0.001,0.000993,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,385,2024-05-10 21:53:11
0x94b2d43259dc9c9f3acb040e418090f82ef3e42cd38464081b50b55d5ac7f1d9,19841576,1715367503,deposit,0xaac22da0baaf48ce621c0c8add5983c2078381bb,0xaac22da0baaf48ce621c0c8add5983c2078381bb,0.1,0.099361,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,295,2024-05-10 18:58:23
0x23b2f7c2ddd736a0e8c7376f92b8f0a0f44ea03ae3bc3b1d2a83664cd6421afc,19841623,1715368079,deposit,0xb6c5273e79e2add234ebc07d87f3824e0f94b2f7,0xb6c5273e79e2add234ebc07d87f3824e0f94b2f7,1.0,0.993617,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,226,2024-05-10 19:07:59
0x65db8db84bf2661791ede12b432a3abac2d9de9ee4ba5f428ddcf9f6d2589606,19831476,1715245535,deposit,0x6877bb79f680216bbdf01704939037f22193e771,0x6877bb79f680216bbdf01704939037f22193e771,0.2,0.198759,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,126,2024-05-09 09:05:35
0xdd2375463aa6d65c8ef7bc3dcb60857001214d9ad153a4d55fc5ad8593e4eb32,19840551,1715355119,deposit,0x1e4b0702f772ba04b606a3b81d5c2e22dd515c35,0x1e4b0702f772ba04b606a3b81d5c2e22dd515c35,8000.0,7949.092547,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,321,2024-05-10 15:31:59
0xa595a7c0362e3441b20ff961922952e175455372dd220d4c7e066d42651c3ab5,19848200,1715447531,deposit,0xaac22da0baaf48ce621c0c8add5983c2078381bb,0xaac22da0baaf48ce621c0c8add5983c2078381bb,0.01,0.009935,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,200,2024-05-11 17:12:11
0x520eb4e978548f6bf95df2a82ec9c19170783e6d6aa391b4e42bf3b4d17fe112,19848607,1715452451,deposit,0xaac22da0baaf48ce621c0c8add5983c2078381bb,0xaac22da0baaf48ce621c0c8add5983c2078381bb,0.01,0.009934,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,139,2024-05-11 18:34:11
0xf97607ec3fe0b2318f060402276d03a612d4c58b85d5952f9fa95482ad6b9b00,19856002,1715541815,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,8610.076691,8552.979134,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,495,2024-05-12 19:23:35
0x2fa3ee17d33541eebc04b76bde0ccc1da5c4fabdde1669a39ccbfb28200da815,19855852,1715540003,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,10553.942681,10483.981753,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,254,2024-05-12 18:53:23
0xf7fbcf15c5fa8712e44be86c308194792989fcb7bdd81c683e14225544742a87,19802388,1714893971,deposit,0x64df7af696e0977771a0e1e1b1a8dd22ded3cf4b,0x64df7af696e0977771a0e1e1b1a8dd22ded3cf4b,1000.0,994.35588,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,90,2024-05-05 07:26:11
0xb3c2642315ca67f8ef2c915b75d974019c475fd31b983fc12b604e07a80c3121,19802637,1714896959,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,50000.0,49717.500169,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,242,2024-05-05 08:15:59
